x,sin(x)
8.9256,0.4787039694059354
7.2173,0.8040730511545947
9.5816,-0.15618003780692613
4.4566,-0.9674639778493128
3.1019,0.03968223173687593
8.4434,0.8312641370021077
3.3867,-0.24266046415009648
8.0232,0.9857167044956949
4.4295,-0.9602530427921107
5.3922,-0.777691534412835
3.3201,-0.17756083671108208
4.3595,-0.9383781690885392
3.5541,-0.4009076121926675
7.0703,0.7083195084502201
1.1071,0.8944054026786372
3.2031,-0.06146857178831159
5.193,-0.8867126010851023
7.2084,0.7987499543584664
4.1084,-0.8230767067853513
8.562,0.7596520820965134
5.1879,-0.8890588966005823
2.1418,0.8413589369766663
9.5083,-0.0834249657647371
6.0966,-0.18550455762348028
0.817,0.7290958790212609
1.5905,0.9998058889112907
2.0026,0.9082123728461201
8.6908,0.6698286254018073
1.6639,0.9956689829183846
5.6643,-0.5801275752731501
9.1438,0.2772953907758983
4.039,-0.7817126594147539
9.3395,0.08517463675968664
5.5417,-0.6753840200912646
1.6415,0.99750153637812
1.9694,0.9216038511826814
1.242,0.9464317000179865
1.9775,0.918429784438025
3.0257,0.11563339997937427
1.4119,0.9874025173076323
3.0719,0.06963625031996964
6.0334,-0.24719593501377368
3.956,-0.7273189884552989
9.4642,-0.039411829077383734
6.5005,0.21560825499033573
3.0441,0.09733828532344392
7.8216,0.9994757607014494
2.7383,0.3924489606662958
9.1537,0.26777018873370895
9.9222,-0.4771615745918369
3.1226,0.01899151176923527
7.5637,0.9581633036492454
3.6425,-0.4802216125320178
2.6297,0.4898281745633339
2.2377,0.7857406810193523
3.3134,-0.1709633648705739
7.142,0.7570686918945447
5.3722,-0.7901080844484933
1.8878,0.9501736997840499
3.5923,-0.43560235326845353
6.5632,0.2763697691492462
4.5856,-0.9919730389563144
8.7538,0.621752236796061
2.3432,0.7162353156865446
2.2092,0.8030480545905009
0.7306,0.6673166195817478
4.3816,-0.9457863855107561
3.0754,0.06614432735248103
3.8204,-0.6278652021393315
3.4441,-0.2979146347323717
8.8822,0.5163454200935149
1.4309,0.9902304577730697
2.951,0.18944085011033
5.6406,-0.5992671072036906
8.0326,0.9840901070149253
9.0131,0.4001476588711699
1.132,0.9052636996020307
0.3538,0.3464649394542103
4.0321,-0.7773909774360682
3.7188,-0.5456858524117639
8.772,0.607395557322953
1.0321,0.8583782176248411
8.7494,0.6251923486859374
4.8121,-0.9950329736305409
8.1021,0.9693762298919044
6.6021,0.3135361635413534
8.2529,0.921481663240744
2.4466,0.640379797076312
7.113,0.7378062991171879
0.2903,0.28623968539532724
9.2459,0.17792554974074776
6.7301,0.4321853123661012
4.5002,-0.9775722572740999
2.6842,0.4416102813144566
1.5843,0.9999088267904442
2.3515,0.7104184831635882
7.344,0.8727534733743308
8.1719,0.949888173436634
4.8848,-0.9851740007341682
2.183,0.818383616018785
4.1674,-0.8551330034965379
2.2437,0.7820152237207831
1.1323,0.9053911139026842
4.7889,-0.9970744595171278
6.211,-0.07212263395697598
4.1421,-0.8417449969339721
1.5386,0.9994817430416916
7.9655,0.9937882686278524
5.3227,-0.8194698051876999
6.9439,0.6136812971157098
1.0991,0.8907987626683078
9.538,-0.1129802910038078
8.9075,0.4945160620937826
5.7531,-0.505606943003008
7.2369,0.8155706616856275
4.3876,-0.947718085732371
4.7866,-0.9972476258053016
5.1967,-0.8849959475230306
4.3547,-0.9367084363931089
5.4846,-0.7163697474063815
1.8856,0.9508571858646171
3.321,-0.17844646352261273
6.0661,-0.21538425884225537
0.47,0.4528862853790683
1.1044,0.8931945496825314
4.8191,-0.9943117799823525
0.7243,0.6626113306425858
1.4958,0.9971890933376634
7.0194,0.6714877571879782
8.3145,0.8958222495339424
5.5943,-0.6356770845428732
4.8561,-0.989691331711165
